last,first,birth,death,author,title,vol,publisher,date,page,portrait,call_number,name,book,code
Beatty,Don,,1965,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,195,p,Day-NW F752B73H57 1987,"Beatty, Don","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 195. [includes portrait]",Boundary
Beatty,James H,1836,1927,Idaho State Historical Society,Biennial Report,11,"Boise, Id.",1908-1950,81,,Idaho F741B5,"Beatty, James H","Idaho State Historical Society. Biennial Report, v. 11 (Boise, Id.), 1908-1950. p. 81. ",IHS
Beaudry,W. A.,1878,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,117,,Day-NW F746H39,"Beaudry, W. A.","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 117. ",HAWLEY
Beauregard,Joseph,1884,1933,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,53,,Day-NW F752.C55S48 1992,"Beauregard, Joseph","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 53. ",Silver
Beavers,Harold,1902,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,67,p,Day-NW F745.R5,"Beavers, Harold","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 67. [includes portrait]",Fiddlers
Beavers,William,1862,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,150,,Day-NW F746H39,"Beavers, William","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 150. ",HAWLEY
Bechtel,Lois F,1858,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,1192,,Day-NW Oversize F746I4,"Bechtel, Lois F","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 1192. ",ILLUS
Bechtel,Martin,1837,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,662,,Day-NW Oversize F746I4,"Bechtel, Martin","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 662. ",ILLUS
Bechtold,Harry,1880,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1148,,Day-NW F746F87,"Bechtold, Harry","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1148. ",FRENCH
Beck,Anders,1823,1912,"Ingle, Gerald",Gleanings from Big Bear Ridge,,"Moscow, Latah County Historical Society",1982,64,,Day-NW F752B5G7,"Beck, Anders","Ingle, Gerald. Gleanings from Big Bear Ridge (Moscow, Latah County Historical Society), 1982. p. 64. ",Bear
Beck,Richard W.,1950,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,195,p,Day-NW F752B73H57 1987,"Beck, Richard W.","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 195. [includes portrait]",Boundary
Beck,Albert,,,"Ransel, Sandra and Durand Charles",Crossroads: A history of the elmore county area,,"Elmore county historical research team, Mtn Home, Idaho",1985,156,,Day-NW F752E4R35,"Beck, Albert","Ransel, Sandra and Durand Charles. Crossroads: A history of the elmore county area (Elmore county historical research team, Mtn Home, Idaho), 1985. p. 156. ",Crossroads
Beck,James Obye,,,"Ransel, Sandra and Durand Charles",Crossroads: A history of the elmore county area,,"Elmore county historical research team, Mtn Home, Idaho",1985,156,,Day-NW F752E4R35,"Beck, James Obye","Ransel, Sandra and Durand Charles. Crossroads: A history of the elmore county area (Elmore county historical research team, Mtn Home, Idaho), 1985. p. 156. ",Crossroads
Beck,J.E.,1903,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,40,p,Day-NW F745.R5,"Beck, J.E.","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 40. [includes portrait]",Fiddlers
Beck,Albert W,1857,1932,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,483,,Day-NW F746H39,"Beck, Albert W","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 483. ",HAWLEY
Beck,Peter S,1852,,,Illustrated History of the State of Idaho,,"Chicago, The Lewis Pub. Co.",1899,530,,Day-NW Oversize F746I42,"Beck, Peter S","Illustrated History of the State of Idaho (Chicago, The Lewis Pub. Co.), 1899. p. 530. ",IDAHO
Beck,Helen,,,"Cosho, Maude L",An Idaho Hodgepodge,,Boise,1981,119,,Day-NW F746 C67,"Beck, Helen","Cosho, Maude L. An Idaho Hodgepodge (Boise), 1981. p. 119. ",IdahoHodgepodge
Beck,Albert W,1857,1932,Idaho State Historical Society,Biennial Report,13,"Boise, Id.",1908-1950,130,,Idaho F741B5,"Beck, Albert W","Idaho State Historical Society. Biennial Report, v. 13 (Boise, Id.), 1908-1950. p. 130. ",IHS
Beck,Joseph E,1864,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,1112,,Day-NW Oversize F746I4,"Beck, Joseph E","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 1112. ",ILLUS
Beck,Simon,1850,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,869,,Day-NW Oversize F746I4,"Beck, Simon","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 869. ",ILLUS
Beck,J.E.,1903,,,Idaho Oldtime Fiddlers,,"Boise, Id., The Idaho Old Time Fiddlers' Association",1963,40,p,Day-NW F745R5,"Beck, J.E.","Idaho Oldtime Fiddlers (Boise, Id., The Idaho Old Time Fiddlers' Association), 1963. p. 40. [includes portrait]",IOF
Beck,Charlie,,,"Raymond, Gwen","McCammon, Idaho : yesterday and today",,"McCommon, Idaho",1991,208,,Day-NW F752B2 1991,"Beck, Charlie","Raymond, Gwen. McCammon, Idaho : yesterday and today (McCommon, Idaho), 1991. p. 208. ",MaCammon
Beck,Elta Hjort,1905,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,55,,Day-NW F752.C55S48 1992,"Beck, Elta Hjort","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 55. ",Silver
Beckdolt,John W,1861,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,455,,Day-NW F746H39,"Beckdolt, John W","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 455. ",HAWLEY
Becker,Srtanton Ernest,1904,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,279,,Day-NW F746B335,"Becker, Srtanton Ernest","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 279. ",B&W
Becker,John,,1965,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,228,p,Day-NW F752B677B43,"Becker, John","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 228. [includes portrait]",Bonner
Becker,Donald Lloyd,1935,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,196,,Day-NW F752B73H57 1987,"Becker, Donald Lloyd","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 196. ",Boundary
Becker,Leonard,1932,,"Ransel, Sandra and Durand Charles",Crossroads: A history of the elmore county area,,"Elmore county historical research team, Mtn Home, Idaho",1985,156,p,Day-NW F752E4R35,"Becker, Leonard","Ransel, Sandra and Durand Charles. Crossroads: A history of the elmore county area (Elmore county historical research team, Mtn Home, Idaho), 1985. p. 156. [includes portrait]",Crossroads
Beckley,Norman C,1889,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,777,,Day-NW F746H39,"Beckley, Norman C","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 777. ",HAWLEY
Becklund,William Bruce,1946,,"Ransel, Sandra and Durand Charles",Crossroads: A history of the elmore county area,,"Elmore county historical research team, Mtn Home, Idaho",1985,156,p,Day-NW F752E4R35,"Becklund, William Bruce","Ransel, Sandra and Durand Charles. Crossroads: A history of the elmore county area (Elmore county historical research team, Mtn Home, Idaho), 1985. p. 156. [includes portrait]",Crossroads
Beckman,George Edgar,1881,,"French, Hiram T",History of Idaho,2,Chicago The Lewis Pub. Co.,1914,864,,Day-NW F746F87,"Beckman, George Edgar","French, Hiram T. History of Idaho, v. 2 (Chicago The Lewis Pub. Co.), 1914. p. 864. ",FRENCH
Beckman,August,1852,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,710,,Day-NW Oversize F746I4,"Beckman, August","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 710. ",ILLUS
Beckman,Vicki Stoddard,1956,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,57,p,Day-NW F752.C55S48 1992,"Beckman, Vicki Stoddard","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 57. [includes portrait]",Silver
Beckmann,Ida Goeldner,1855,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,619,,Day-NW F746H39,"Beckmann, Ida Goeldner","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 619. ",HAWLEY
Beckstead,Elton Derias,1881,,,Bingham County History,,"Blackfoot, Bingham Co. Historical Society",1990,280,p,Day-NW F752B6B56 1990,"Beckstead, Elton Derias","Bingham County History (Blackfoot, Bingham Co. Historical Society), 1990. p. 280. [includes portrait]",Bingham
Beckstead,Alexander O. (Zan),,,"Hart, Newell","Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era",,"Cache Valley Newsletter Pub. Co.Preston, Idaho",1973,53,p,Day-NW F752.F7H37 1973,"Beckstead, Alexander O. (Zan)","Hart, Newell. Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era (Cache Valley Newsletter Pub. Co.Preston, Idaho), 1973. p. 53. [includes portrait]",Franklin
Beckstead,Eugene,,,"Hart, Newell","Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era",,"Cache Valley Newsletter Pub. Co.Preston, Idaho",1973,392,p,Day-NW F752.F7H37 1973,"Beckstead, Eugene","Hart, Newell. Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era (Cache Valley Newsletter Pub. Co.Preston, Idaho), 1973. p. 392. [includes portrait]",Franklin
Beckstead,Ora,,,"Hart, Newell","Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era",,"Cache Valley Newsletter Pub. Co.Preston, Idaho",1973,395,p,Day-NW F752.F7H37 1973,"Beckstead, Ora","Hart, Newell. Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era (Cache Valley Newsletter Pub. Co.Preston, Idaho), 1973. p. 395. [includes portrait]",Franklin
Beckstead,Sandhill Bill,,,"Hart, Newell","Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era",,"Cache Valley Newsletter Pub. Co.Preston, Idaho",1973,455,p,Day-NW F752.F7H37 1973,"Beckstead, Sandhill Bill","Hart, Newell. Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era (Cache Valley Newsletter Pub. Co.Preston, Idaho), 1973. p. 455. [includes portrait]",Franklin
Beckstead,Eugene,,,"Hart, Newell","Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era",,"Cache Valley Newsletter Pub. Co.Preston, Idaho",1973,649,p,Day-NW F752.F7H37 1973,"Beckstead, Eugene","Hart, Newell. Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era (Cache Valley Newsletter Pub. Co.Preston, Idaho), 1973. p. 649. [includes portrait]",Franklin
Beckstead,Charles Francis,1896,1973,,Gems of our Valley,,"Grace, Grace Literary Club",1977,340,,Day-NW F752C3S55,"Beckstead, Charles Francis","Gems of our Valley (Grace, Grace Literary Club), 1977. p. 340. ",Gems
Beckstead,Alexander O,1871,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,147,,Day-NW F746H39,"Beckstead, Alexander O","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 147. ",HAWLEY
Beckstead,Gordon S,1825,1890,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,43,,Day-NW F745P96,"Beckstead, Gordon S","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 43. ",PROG
Beckstead,Gordon S,1825,1890,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,688,,Day-NW F745P97,"Beckstead, Gordon S","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 688. ",PROG S
Becktel,Kenneth,1911,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,384,,Day-NW F746B335,"Becktel, Kenneth","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 384. ",B&W
Beckwith,Judge Robert W.,1894,1957,"Ransel, Sandra and Durand Charles",Crossroads: A history of the elmore county area,,"Elmore county historical research team, Mtn Home, Idaho",1985,157,p,Day-NW F752E4R35,"Beckwith, Judge Robert W.","Ransel, Sandra and Durand Charles. Crossroads: A history of the elmore county area (Elmore county historical research team, Mtn Home, Idaho), 1985. p. 157. [includes portrait]",Crossroads
Beckwith,Robert W,1894,,"Defenbach, Byron","Idaho, the place and its people",2,"Chicago, The American Historical Society, Inc.",1933,159,,Day-NW F746D36,"Beckwith, Robert W","Defenbach, Byron. Idaho, the place and its people, v. 2 (Chicago, The American Historical Society, Inc.), 1933. p. 159. ",Defenbach
Bedal,James I,1859,,"Defenbach, Byron","Idaho, the place and its people",3,"Chicago, The American Historical Society, Inc.",1933,118,,Day-NW F746D36,"Bedal, James I","Defenbach, Byron. Idaho, the place and its people, v. 3 (Chicago, The American Historical Society, Inc.), 1933. p. 118. ",DEFENBACH
Bedard,Henry,,,Margaret Neil Longeteig,Remember WhenL Homesteading on Idaho's NezPerce Prairie and the people who setteled there after 1895,,Nez Perce Printing and Publications,1976,22,p,Day-NW F752.L45.65,"Bedard, Henry","Margaret Neil Longeteig. Remember WhenL Homesteading on Idaho's NezPerce Prairie and the people who setteled there after 1895 (Nez Perce Printing and Publications), 1976. p. 22. [includes portrait]",NezPerce
Bedford,Clifton Crews,1879,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,955,p,Day-NW F746F87,"Bedford, Clifton Crews","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 955. [includes portrait]",FRENCH
Bedke,Frank Carl,1845,1916,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,31,,Day-NW F752C3E74,"Bedke, Frank Carl","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 31. ",Pause
Bedke,Ray,1884,1971,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,182,,Day-NW F752C3E74,"Bedke, Ray","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 182. ",Pause
Bedke,Frank C.,1845,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,56,,Day-NW F745P97,"Bedke, Frank C.","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 56. ",PROG S
Bedwell,Verla,1932,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,113,p,Day-NW F745.R5,"Bedwell, Verla","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 113. [includes portrait]",Fiddlers
Bedwell,Marie Stevens,,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,60,,Day-NW F752.C55S48 1992,"Bedwell, Marie Stevens","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 60. ",Silver
Bee,Richard John Moxey,1835,1912,"Ingle, Gerald",Gleanings from Big Bear Ridge,,"Moscow, Latah County Historical Society",1982,67,p,Day-NW F752B5G7,"Bee, Richard John Moxey","Ingle, Gerald. Gleanings from Big Bear Ridge (Moscow, Latah County Historical Society), 1982. p. 67. [includes portrait]",Bear
Bee,William F,1881,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,687,,Day-NW F746H39,"Bee, William F","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 687. ",HAWLEY
Beecher,Osa Maroni,1849,1935,Idaho State Historical Society,Biennial Report,15,"Boise, Id.",1908-1950,134,,Idaho F741B5,"Beecher, Osa Maroni","Idaho State Historical Society. Biennial Report, v. 15 (Boise, Id.), 1908-1950. p. 134. ",IHS
Beecher,Orvil L,1860,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,37,,Day-NW F745P97,"Beecher, Orvil L","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 37. ",PROG S
Beede,John E.,1834,1912,"Chedsey, Zona & Frei, Carolyn",Idaho County Voices: A people's history from the pioneers to the present,,Idaho county centennial committee,1990,192,p,Day-NW F752.I2I32 1990,"Beede, John E.","Chedsey, Zona & Frei, Carolyn. Idaho County Voices: A people's history from the pioneers to the present (Idaho county centennial committee), 1990. p. 192. [includes portrait]",Idaho County
Beede,John E,1834,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,536,p,Day-NW Oversize F746I4,"Beede, John E","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 536. [includes portrait]",ILLUS
Beeghly,William T.,,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,61,p,Day-NW F752.C55S48 1992,"Beeghly, William T.","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 61. [includes portrait]",Silver
Beeman,Rufus H,1832,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,256,p,Day-NW Oversize F746I4,"Beeman, Rufus H","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 256. [includes portrait]",ILLUS
Beeman,Rufus Horatio,1833,1924,Lewis County Centennial committee,Lewis County Legacy - A gift from the past,,Lewis County Historical Society,1990,46,,Day-NW F752.L45L48 1990,"Beeman, Rufus Horatio","Lewis County Centennial committee. Lewis County Legacy - A gift from the past (Lewis County Historical Society), 1990. p. 46. ",Lewis
Beeman,Harry,1866,1942,Lewis County Centennial committee,Lewis County Legacy - A gift from the past,,Lewis County Historical Society,1990,47,,Day-NW F752.L45L48 1990,"Beeman, Harry","Lewis County Centennial committee. Lewis County Legacy - A gift from the past (Lewis County Historical Society), 1990. p. 47. ",Lewis
Beeson,James Lindsay,1925,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,264,,Day-NW F746B335,"Beeson, James Lindsay","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 264. ",B&W
Beetham,Benjamin C.,1881,,"Defenbach, Byron","Idaho, the place and its people",2,"Chicago, The American Historical Society, Inc.",1933,61,,Day-NW F746D36,"Beetham, Benjamin C.","Defenbach, Byron. Idaho, the place and its people, v. 2 (Chicago, The American Historical Society, Inc.), 1933. p. 61. ",Defenbach
Beggs,John,1823,,,"Historical, Descriptive and Commercial Directory of Owyhee County, Idaho",,,1898,100,,Day-NW F752O97H6,"Beggs, John","Historical, Descriptive and Commercial Directory of Owyhee County, Idaho, 1898. p. 100. ",OWYHEE
Behean,George,1870,1950,"Chedsey, Zona & Frei, Carolyn",Idaho County Voices: A people's history from the pioneers to the present,,Idaho county centennial committee,1990,192,,Day-NW F752.I2I32 1990,"Behean, George","Chedsey, Zona & Frei, Carolyn. Idaho County Voices: A people's history from the pioneers to the present (Idaho county centennial committee), 1990. p. 192. ",Idaho County
Behling,Aliceia,,,,Settlers of the Silver Sage,,"Ricks College Press, Rexburg, ID",1992,62,,Day-NW F752.C55S48 1992,"Behling, Aliceia","Settlers of the Silver Sage (Ricks College Press, Rexburg, ID), 1992. p. 62. ",Silver
Behr,Carl C.,1878,,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,323,,Day-NW F752C3E74,"Behr, Carl C.","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 323. ",Pause
Behrens,Edwin E,1917,,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,229,p,Day-NW F752B677B43,"Behrens, Edwin E","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 229. [includes portrait]",Bonner
Behrman,Harry (Bud),1915,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,196,,Day-NW F752B73H57 1987,"Behrman, Harry (Bud)","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 196. ",Boundary
Beier,Frederick William,1853,1933,"Diffendaffer, Marguerite L.",Council Valley: Here they labored,,The Worthwhile Club of Council Idaho,1977,45,,Day-NW F752A3D54,"Beier, Frederick William","Diffendaffer, Marguerite L.. Council Valley: Here they labored (The Worthwhile Club of Council Idaho), 1977. p. 45. ",Council
Belden,Carl,,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,196,,Day-NW F752B73H57 1987,"Belden, Carl","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 196. ",Boundary
Belden,Guy,,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,196,,Day-NW F752B73H57 1987,"Belden, Guy","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 196. ",Boundary
Belden,Carl Leslie,1935,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,196,p,Day-NW F752B73H57 1987,"Belden, Carl Leslie","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 196. [includes portrait]",Boundary
Belknap,Horace P,1890,,"Defenbach, Byron","Idaho, the place and its people",2,"Chicago, The American Historical Society, Inc.",1933,149,,Day-NW F746D36,"Belknap, Horace P","Defenbach, Byron. Idaho, the place and its people, v. 2 (Chicago, The American Historical Society, Inc.), 1933. p. 149. ",Defenbach
Belknap,Virgil C,1871,,"Defenbach, Byron","Idaho, the place and its people",2,"Chicago, The American Historical Society, Inc.",1933,148,,Day-NW F746D36,"Belknap, Virgil C","Defenbach, Byron. Idaho, the place and its people, v. 2 (Chicago, The American Historical Society, Inc.), 1933. p. 148. ",Defenbach
Belknap,Asa W,1860,,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,47,,Day-NW F745P96,"Belknap, Asa W","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 47. ",PROG
Belknap,Asa W,1860,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,688,,Day-NW F745P97,"Belknap, Asa W","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 688. ",PROG S
Bell,Terrell H,1921,,"Beck, Richard J",100 Famous Idahoans,,"Moscow, ID",1989,7,p,Day-NW F745B421989,"Bell, Terrell H","Beck, Richard J. 100 Famous Idahoans (Moscow, ID), 1989. p. 7. [includes portrait]",Beck
Bell,Rosemary Kaye DeMers,1946,,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,229,p,Day-NW F752B677B43,"Bell, Rosemary Kaye DeMers","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 229. [includes portrait]",Bonner
Bell,Terrell Howard,1921,1996,,Encyclopedia of Idaho,,"Santa Barbara, Somerset, Inc",2001,147,,Day-NW F744.E52 2001,"Bell, Terrell Howard","Encyclopedia of Idaho (Santa Barbara, Somerset, Inc), 2001. p. 147. ",Encyclopedia
Bell,Osa J,1852,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1091,,Day-NW F746F87,"Bell, Osa J","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1091. ",FRENCH
Bell,Robert Norman,1864,1935,"French, Hiram T",History of Idaho,2,Chicago The Lewis Pub. Co.,1914,738,,Day-NW F746F87,"Bell, Robert Norman","French, Hiram T. History of Idaho, v. 2 (Chicago The Lewis Pub. Co.), 1914. p. 738. ",FRENCH
Bell,James B,1867,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,493,,Day-NW F746H39,"Bell, James B","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 493. ",HAWLEY
Bell,John W,1875,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,507,,Day-NW F746H39,"Bell, John W","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 507. ",HAWLEY
Bell,R. H.,1890,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,412,,Day-NW F746H39,"Bell, R. H.","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 412. ",HAWLEY
Bell,Robert Norman,1864,1935,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,378,p,Day-NW F746H39,"Bell, Robert Norman","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 378. [includes portrait]",HAWLEY
